"customer_id","frequency","monetary","r_score","f_score","m_score","segment"
C1406,2,201.61,3,3,3,Champions
C0525,2,139.28,3,3,3,Champions
C0854,2,239.77,3,2,3,Potential Loyalists
C0051,1,116.47,3,4,4,Champions
C0621,4,466.38,3,1,1,Others
C0571,2,281.44,3,3,2,Champions
C0844,2,222.87,3,2,3,Potential Loyalists
C0139,4,306.10,3,1,2,Others
C0432,4,456.38,3,1,1,Others
C1126,3,158.31,3,2,3,Potential Loyalists
C0861,2,187.55,3,3,3,Champions
C1357,3,445.40,3,2,1,Potential Loyalists
C1003,4,418.05,3,1,1,Others
C0192,2,107.13,3,3,4,Champions
C0093,2,94.18,3,3,4,Champions
C0286,2,383.94,3,3,2,Champions
C0680,2,158.96,3,3,3,Champions
C1398,4,524.99,3,1,1,Others
C0398,4,584.37,3,1,1,Others
C0913,2,108.56,3,3,4,Champions
C1319,5,502.03,3,1,1,Others
C0402,2,345.83,3,3,2,Champions
C0248,3,384.04,3,2,2,Potential Loyalists
C1073,2,364.85,3,3,2,Champions
C1372,4,306.11,3,1,2,Others
C0929,3,468.60,3,1,1,Others
C0216,3,384.20,3,2,2,Potential Loyalists
C0908,3,309.25,3,2,2,Potential Loyalists
C0441,3,155.58,3,2,3,Potential Loyalists
C0134,6,613.28,3,1,1,Others
C0044,2,315.02,3,3,2,Champions
C1095,3,471.60,3,1,1,Others
C0994,4,375.61,3,1,2,Others
C0796,1,104.18,3,4,4,Champions
C0404,1,131.93,3,4,4,Champions
C1214,4,415.60,3,1,1,Others
C0972,4,375.81,3,1,2,Others
C1401,4,393.88,3,1,1,Others
C0069,2,172.91,3,3,3,Champions
C0897,1,112.70,3,4,4,Champions
C0930,3,142.80,3,2,3,Potential Loyalists
C0410,3,229.30,3,2,3,Potential Loyalists
C0259,3,377.66,3,2,2,Potential Loyalists
C0918,3,616.46,3,1,1,Others
C0976,3,195.82,3,2,3,Potential Loyalists
C0023,3,520.47,3,1,1,Others
C1145,3,133.07,3,2,4,Potential Loyalists
C1295,2,219.24,3,2,3,Potential Loyalists
C1456,1,283.08,3,3,2,Champions
C0156,1,78.39,3,4,4,Champions
C1200,4,117.65,3,1,4,Others
C1409,2,498.66,3,3,1,Champions
C0559,2,264.78,3,3,2,Champions
C0922,2,285.60,3,3,2,Champions
C0767,2,262.21,3,3,2,Champions
C0857,4,532.56,3,1,1,Others
C0876,3,355.94,3,2,2,Potential Loyalists
C1380,3,257.17,3,2,2,Potential Loyalists
C0912,3,324.63,3,2,2,Potential Loyalists
C1292,2,258.57,3,3,2,Champions
C1430,2,265.05,3,3,2,Champions
C0188,4,300.90,3,1,2,Others
C0138,4,658.15,3,1,1,Others
C0164,2,344.36,3,3,2,Champions
C0057,3,299.90,3,2,2,Potential Loyalists
C0500,2,174.11,3,3,3,Champions
C1243,3,325.03,3,2,2,Potential Loyalists
C0967,2,178.75,3,3,3,Champions
C0288,3,337.23,3,2,2,Potential Loyalists
C0184,3,306.34,3,2,2,Potential Loyalists
C1219,2,167.88,3,3,3,Champions
C1353,1,53.93,3,4,4,Champions
C0136,2,229.47,3,2,3,Potential Loyalists
C0300,2,97.74,3,3,4,Champions
C0888,2,111.94,3,3,4,Champions
C0090,6,687.71,3,1,1,Others
C0951,1,85.87,3,4,4,Champions
C0815,2,131.36,3,3,4,Champions
C0485,2,106.63,3,3,4,Champions
C1388,1,171.14,3,4,3,Champions
C0466,2,138.58,3,3,3,Champions
C0437,2,118.04,3,3,4,Champions
C0642,6,632.16,3,1,1,Others
C1084,3,305.26,3,2,2,Potential Loyalists
C1344,1,40.90,3,4,4,Champions
C1281,7,1043.82,3,1,1,Others
C0413,1,212.53,3,4,3,Champions
C0584,6,766.92,3,1,1,Others
C0117,3,336.46,3,2,2,Potential Loyalists
C0303,6,403.21,3,1,1,Others
C0898,4,302.53,3,1,2,Others
C0657,2,371.31,3,3,2,Champions
C0352,3,370.85,3,2,2,Potential Loyalists
C1052,3,352.45,3,2,2,Potential Loyalists
C1141,1,55.63,3,4,4,Champions
C1358,3,322.13,3,2,2,Potential Loyalists
C1091,2,189.13,3,3,3,Champions
C0140,2,245.12,3,2,3,Potential Loyalists
C0448,3,207.77,3,2,3,Potential Loyalists
C0271,4,560.94,3,1,1,Others
C1081,2,275.37,3,3,2,Champions
C0149,4,563.81,3,1,1,Others
C1328,4,537.85,3,1,1,Others
C1209,2,183.52,3,3,3,Champions
C0379,3,149.04,3,2,3,Potential Loyalists
C0185,3,122.32,3,2,4,Potential Loyalists
C0161,4,285.26,3,1,2,Others
C1005,3,228.28,3,2,3,Potential Loyalists
C0293,4,515.31,3,1,1,Others
C0950,2,199.75,3,3,3,Champions
C0817,1,17.91,3,4,4,Champions
C0361,4,480.88,3,1,1,Others
C1009,5,604.62,3,1,1,Others
C0828,3,278.34,3,2,2,Potential Loyalists
C0435,1,65.87,3,4,4,Champions
C1415,3,582.58,3,1,1,Others
C1476,3,377.33,3,2,2,Potential Loyalists
C0464,3,201.12,3,2,3,Potential Loyalists
C0383,1,98.58,3,4,4,Champions
C1107,4,243.31,3,1,3,Others
C0765,2,107.76,3,3,4,Champions
C1436,3,136.69,3,2,3,Potential Loyalists
C0588,3,521.15,3,1,1,Others
C1101,4,641.40,3,1,1,Others
C0197,3,233.86,3,2,3,Potential Loyalists
C1057,1,131.75,3,4,4,Champions
C1410,3,249.17,3,2,3,Potential Loyalists
C1495,3,138.28,3,2,3,Potential Loyalists
C0449,4,452.25,3,1,1,Others
C0471,1,160.76,3,3,3,Champions
C0566,3,278.64,3,2,2,Potential Loyalists
C0700,5,466.07,3,1,1,Others
C1363,3,356.93,3,2,2,Potential Loyalists
C0899,2,286.40,3,3,2,Champions
C0669,2,219.72,3,2,3,Potential Loyalists
C0365,3,140.31,3,2,3,Potential Loyalists
C0502,8,1067.74,3,1,1,Others
C0019,2,239.56,3,2,3,Potential Loyalists
C0652,6,908.47,3,1,1,Others
C1135,2,167.95,3,3,3,Champions
C1466,3,182.69,3,2,3,Potential Loyalists
C0925,2,66.75,3,3,4,Champions
C0851,1,79.28,3,4,4,Champions
C0677,3,364.62,3,2,2,Potential Loyalists
C0205,3,541.59,3,1,1,Others
C0331,1,143.27,3,4,3,Champions
C0872,2,247.84,3,2,3,Potential Loyalists
C0787,3,341.09,3,2,2,Potential Loyalists
C0186,3,216.76,3,2,3,Potential Loyalists
C1230,1,130.77,3,4,4,Champions
C0380,2,357.82,3,3,2,Champions
C0364,4,433.97,3,1,1,Others
C0618,4,487.42,3,1,1,Others
C1225,2,338.34,3,3,2,Champions
C0678,4,261.72,3,1,2,Others
C0615,3,234.36,3,2,3,Potential Loyalists
C0425,5,544.17,3,1,1,Others
C1271,1,15.51,3,4,4,Champions
C1029,3,387.94,3,2,1,Potential Loyalists
C0005,2,191.78,3,3,3,Champions
C1483,1,82.17,3,4,4,Champions
C1192,3,493.39,3,1,1,Others
C1223,2,242.66,3,2,3,Potential Loyalists
C1008,4,421.19,3,1,1,Others
C0834,3,167.73,3,2,3,Potential Loyalists
C0875,3,180.12,3,2,3,Potential Loyalists
C0252,3,258.67,3,2,2,Potential Loyalists
C0032,2,321.51,3,3,2,Champions
C1015,4,347.97,3,1,2,Others
C0969,2,49.04,3,3,4,Champions
C0556,1,219.32,3,4,3,Champions
C0283,2,396.71,3,3,1,Champions
C0650,3,332.83,3,2,2,Potential Loyalists
C1329,1,156.04,3,4,3,Champions
C0459,3,356.28,3,2,2,Potential Loyalists
C0179,3,338.02,3,2,2,Potential Loyalists
C0636,2,184.88,3,3,3,Champions
C1475,2,58.93,3,3,4,Champions
C0581,5,615.47,3,1,1,Others
C0018,2,334.15,3,3,2,Champions
C0853,3,513.63,3,1,1,Others
C0330,2,109.36,3,3,4,Champions
C1244,2,202.18,3,3,3,Champions
C0742,1,154.55,3,4,3,Champions
C1280,2,126.94,3,3,4,Champions
C0064,1,55.72,3,4,4,Champions
C0227,2,433.65,3,2,1,Potential Loyalists
C0927,4,421.73,3,1,1,Others
C0130,3,380.81,3,2,2,Potential Loyalists
C0871,1,237.47,3,4,3,Champions
C0141,1,216.17,3,4,3,Champions
C1226,2,442.61,3,2,1,Potential Loyalists
C0462,2,278.13,3,3,2,Champions
C0496,1,177.76,3,4,3,Champions
C1450,1,18.74,3,4,4,Champions
C0369,1,128.98,3,4,4,Champions
C0848,4,552.43,3,1,1,Others
C0869,2,54.82,3,3,4,Champions
C1235,1,22.88,3,4,4,Champions
C1047,3,315.62,3,2,2,Potential Loyalists
C1332,4,428.16,3,1,1,Others
C0313,5,684.75,3,1,1,Others
C1207,2,76.76,3,3,4,Champions
C0202,2,170.52,3,3,3,Champions
C0159,2,224.48,3,2,3,Potential Loyalists
C0103,4,245.27,3,1,3,Others
C0670,5,359.97,3,1,2,Others
C0919,3,391.48,3,2,1,Potential Loyalists
C1477,2,252.49,3,2,2,Potential Loyalists
C1343,2,176.61,3,3,3,Champions
C0531,2,100.96,3,3,4,Champions
C0507,2,226.93,3,2,3,Potential Loyalists
C1257,3,410.52,3,2,1,Potential Loyalists
C0900,1,35.53,3,4,4,Champions
C0729,1,21.36,3,4,4,Champions
C0074,4,310.91,3,1,2,Others
C1014,2,265.17,3,3,2,Champions
C1093,2,274.86,3,3,2,Champions
C0157,4,448.24,3,1,1,Others
C0675,3,366.67,3,2,2,Potential Loyalists
C0026,3,319.86,3,2,2,Potential Loyalists
C1369,2,233.02,3,2,3,Potential Loyalists
C0520,5,693.33,3,1,1,Others
C1449,2,114.53,3,3,4,Champions
C0931,2,203.42,3,2,3,Potential Loyalists
C0668,2,221.80,3,2,3,Potential Loyalists
C0174,4,515.46,3,1,1,Others
C0611,4,559.67,3,1,1,Others
C0858,2,127.11,3,3,4,Champions
C0486,1,193.62,3,4,3,Champions
C0973,3,184.06,3,2,3,Potential Loyalists
C0338,2,240.66,3,2,3,Potential Loyalists
C1277,2,84.64,3,3,4,Champions
C1065,9,1094.18,3,1,1,Others
C1054,2,229.78,3,2,3,Potential Loyalists
C0409,3,119.59,3,2,4,Potential Loyalists
C0788,4,301.95,3,1,2,Others
C1431,3,338.10,3,2,2,Potential Loyalists
C1468,3,141.65,3,2,3,Potential Loyalists
C0564,4,457.42,3,1,1,Others
C0048,3,301.52,3,2,2,Potential Loyalists
C0578,2,227.18,3,2,3,Potential Loyalists
C0793,1,41.94,3,4,4,Champions
C1361,1,90.56,3,4,4,Champions
C1298,2,341.96,3,3,2,Champions
C1325,3,215.95,3,2,3,Potential Loyalists
C0745,4,330.14,3,1,2,Others
C0540,5,521.47,3,1,1,Others
C0516,1,101.09,3,4,4,Champions
C0781,5,423.14,3,1,1,Others
C0414,5,576.16,3,1,1,Others
C0595,3,401.35,3,2,1,Potential Loyalists
C1447,6,886.43,3,1,1,Others
C0845,4,513.58,3,1,1,Others
C1032,6,766.03,3,1,1,Others
C0378,4,488.99,3,1,1,Others
C0050,3,379.38,3,2,2,Potential Loyalists
C0046,4,350.82,3,1,2,Others
C1488,3,373.04,3,2,2,Potential Loyalists
C0431,3,304.19,3,2,2,Potential Loyalists
C1012,3,277.55,3,2,2,Potential Loyalists
C1267,4,633.21,3,1,1,Others
C0160,1,65.59,3,4,4,Champions
C0316,2,122.50,3,3,4,Champions
C0075,4,535.20,3,1,1,Others
C0778,3,445.35,3,2,1,Potential Loyalists
C0099,4,397.53,3,1,1,Others
C1232,1,69.44,3,4,4,Champions
C0261,5,381.28,3,1,2,Others
C0027,4,330.81,3,1,2,Others
C0923,4,513.60,3,1,1,Others
C0924,3,439.53,3,2,1,Potential Loyalists
C1342,2,149.55,3,3,3,Champions
C0720,2,377.76,3,3,2,Champions
C1231,2,386.11,3,3,2,Champions
C0473,4,372.67,3,1,2,Others
C0370,3,219.06,3,2,3,Potential Loyalists
C0350,4,673.20,3,1,1,Others
C0357,2,107.01,3,3,4,Champions
C0534,3,192.46,3,2,3,Potential Loyalists
C1293,4,518.63,3,1,1,Others
C0463,6,566.78,3,1,1,Others
C0208,4,593.09,3,1,1,Others
C0011,4,382.32,3,1,2,Others
C0748,1,23.36,3,4,4,Champions
C1300,3,280.86,3,2,2,Potential Loyalists
C0426,3,298.24,3,2,2,Potential Loyalists
C0266,3,336.26,3,2,2,Potential Loyalists
C0885,4,349.84,3,1,2,Others
C0246,4,590.77,3,1,1,Others
C0254,2,289.26,3,3,2,Champions
C0076,4,530.87,3,1,1,Others
C0733,3,478.12,3,1,1,Others
C0629,3,104.61,3,2,4,Potential Loyalists
C1453,6,675.04,3,1,1,Others
C0363,6,782.80,3,1,1,Others
C1299,2,368.72,3,3,2,Champions
C0971,5,580.90,3,1,1,Others
C0070,1,7.93,3,4,4,Champions
C0938,3,137.53,3,2,3,Potential Loyalists
C0751,2,312.39,3,3,2,Champions
C0287,4,403.02,3,1,1,Others
C0323,4,597.12,3,1,1,Others
C0940,2,152.85,3,3,3,Champions
C1238,4,419.96,3,1,1,Others
C0768,1,156.40,3,4,3,Champions
C0475,4,218.19,3,1,3,Others
C0743,1,119.96,3,4,4,Champions
C1171,4,228.70,3,1,3,Others
C1114,4,392.32,3,1,1,Others
C0257,1,325.08,3,4,2,Champions
C1482,2,143.37,3,3,3,Champions
C1002,4,487.62,3,1,1,Others
C0902,3,226.31,3,2,3,Potential Loyalists
C0231,3,273.93,3,2,2,Potential Loyalists
C0250,5,546.57,3,1,1,Others
C1266,2,184.99,3,3,3,Champions
C0505,2,274.55,3,3,2,Champions
C0953,4,701.75,3,1,1,Others
C0731,3,448.65,3,2,1,Potential Loyalists
C0663,4,312.99,3,1,2,Others
C0030,2,223.49,3,2,3,Potential Loyalists
C0770,3,473.65,3,1,1,Others
C0180,5,373.70,3,1,2,Others
C1104,2,196.44,3,3,3,Champions
C0801,7,688.89,3,1,1,Others
C1199,3,295.61,3,2,2,Potential Loyalists
C0667,2,129.21,3,3,4,Champions
C1037,3,267.58,3,2,2,Potential Loyalists
C0333,3,281.17,3,2,2,Potential Loyalists
C0088,3,301.02,3,2,2,Potential Loyalists
C1182,3,317.58,3,2,2,Potential Loyalists
C0703,4,206.78,4,1,3,Others
C0420,4,399.20,4,1,1,Others
C0779,5,668.71,4,1,1,Others
C1083,3,663.29,4,1,1,Others
C0495,1,57.56,4,4,4,Champions
C0326,2,461.86,4,3,1,Champions
C0907,4,553.39,4,1,1,Others
C1105,3,266.49,4,2,2,Potential Loyalists
C1119,1,36.80,4,4,4,Champions
C0518,1,32.66,4,4,4,Champions
C0067,2,139.67,4,3,3,Champions
C1173,4,168.89,4,1,3,Others
C0116,1,27.00,4,4,4,Champions
C0573,2,60.75,4,2,4,Potential Loyalists
C0997,2,222.34,4,2,3,Potential Loyalists
C0532,3,412.62,4,2,1,Potential Loyalists
C0325,4,357.27,4,1,2,Others
C0554,3,418.53,4,2,1,Potential Loyalists
C1055,3,400.42,4,2,1,Potential Loyalists
C1076,4,511.85,4,1,1,Others
C1310,1,219.54,4,4,3,Champions
C0170,4,618.75,4,1,1,Others
C1132,4,637.53,4,1,1,Others
C0832,4,499.42,4,1,1,Others
C1315,2,102.26,4,3,4,Champions
C0424,3,276.53,4,2,2,Potential Loyalists
C0855,2,238.71,4,2,3,Potential Loyalists
C0477,6,735.14,4,1,1,Others
C0683,1,184.28,4,4,3,Champions
C0626,3,419.36,4,2,1,Potential Loyalists
C1042,2,247.72,4,2,3,Potential Loyalists
C0454,4,712.42,4,1,1,Others
C0359,4,392.45,4,1,1,Others
C1423,2,97.59,4,3,4,Champions
C0837,4,494.83,4,1,1,Others
C0643,2,354.95,4,3,2,Champions
C0597,7,743.58,4,1,1,Others
C0268,2,224.21,4,2,3,Potential Loyalists
C0784,2,274.24,4,3,2,Champions
C0732,5,616.05,4,1,1,Others
C1115,3,315.06,4,2,2,Potential Loyalists
C0614,1,180.71,4,4,3,Champions
C0113,3,222.15,4,2,3,Potential Loyalists
C0943,4,299.96,4,1,2,Others
C0665,6,543.34,4,1,1,Others
C0465,4,570.33,4,1,1,Others
C0933,3,361.84,4,2,2,Potential Loyalists
C1027,1,210.00,4,4,3,Champions
C0025,4,479.39,4,1,1,Others
C0654,1,138.68,4,4,3,Champions
C1394,5,528.09,4,1,1,Others
C0390,4,515.10,4,1,1,Others
C0342,3,512.46,4,1,1,Others
C0492,2,288.34,4,3,2,Champions
C0809,3,285.41,4,2,2,Potential Loyalists
C1452,3,265.10,4,2,2,Potential Loyalists
C0056,3,379.40,4,2,2,Potential Loyalists
C0541,4,454.15,4,1,1,Others
C0740,4,560.22,4,1,1,Others
C0716,4,591.11,4,1,1,Others
C1490,2,354.80,4,3,2,Champions
C1201,7,865.66,4,1,1,Others
C0860,4,449.87,4,1,1,Others
C0624,1,156.94,4,4,3,Champions
C0523,7,819.16,4,1,1,Others
C0774,4,416.69,4,1,1,Others
C1305,4,459.78,4,1,1,Others
C1265,3,420.12,4,2,1,Potential Loyalists
C1028,2,269.35,4,3,2,Champions
C0301,2,158.53,4,3,3,Champions
C1279,4,536.82,4,1,1,Others
C1018,3,271.43,4,2,2,Potential Loyalists
C0701,1,131.16,4,4,4,Champions
C0895,3,429.90,4,2,1,Potential Loyalists
C0297,3,410.41,4,2,1,Potential Loyalists
C1210,5,733.50,4,1,1,Others
C1137,3,399.75,4,2,1,Potential Loyalists
C0646,3,358.96,4,2,2,Potential Loyalists
C0442,4,425.04,4,1,1,Others
C1424,3,358.89,4,2,2,Potential Loyalists
C1155,3,282.57,4,2,2,Potential Loyalists
C0275,2,126.71,4,3,4,Champions
C1088,3,377.73,4,2,2,Potential Loyalists
C1460,2,210.47,4,2,3,Potential Loyalists
C0022,2,178.28,4,3,3,Champions
C0118,2,252.26,4,2,2,Potential Loyalists
C0403,2,126.07,4,3,4,Champions
C1366,6,602.95,4,1,1,Others
C0387,3,210.71,4,2,3,Potential Loyalists
C0529,2,273.23,4,3,2,Champions
C0623,3,175.16,4,2,3,Potential Loyalists
C0294,2,80.74,4,3,4,Champions
C1239,7,793.60,4,1,1,Others
C0191,4,346.83,4,1,2,Others
C1467,3,219.29,4,2,3,Potential Loyalists
C0977,5,552.95,4,1,1,Others
C1376,2,92.81,4,3,4,Champions
C0945,2,313.62,4,3,2,Champions
C0609,2,307.21,4,3,2,Champions
C0856,5,478.30,4,1,1,Others
C0805,4,336.93,4,1,2,Others
C0835,4,535.36,4,1,1,Others
C0705,1,115.68,4,4,4,Champions
C0416,4,576.49,4,1,1,Others
C1336,2,245.85,4,2,3,Potential Loyalists
C0061,6,411.91,4,1,1,Others
C0377,2,370.73,4,3,2,Champions
C0263,3,288.17,4,2,2,Potential Loyalists
C0935,2,192.74,4,3,3,Champions
C0038,1,221.07,4,4,3,Champions
C0109,6,574.95,4,1,1,Others
C0802,3,384.26,4,2,2,Potential Loyalists
C0814,3,454.92,4,1,1,Others
C0893,3,447.21,4,2,1,Potential Loyalists
C0062,3,328.44,4,2,2,Potential Loyalists
C1351,2,183.16,4,3,3,Champions
C0015,4,383.76,4,1,2,Others
C1024,4,326.24,4,1,2,Others
C1190,4,550.81,4,1,1,Others
C1341,2,295.46,4,3,2,Champions
C0129,2,340.22,4,3,2,Champions
C1074,3,401.08,4,2,1,Potential Loyalists
C1129,3,343.69,4,2,2,Potential Loyalists
C1039,2,359.27,4,3,2,Champions
C0433,4,198.99,4,1,3,Others
C0786,5,443.22,4,1,1,Others
C0524,3,463.29,4,1,1,Others
C0218,4,334.85,4,1,2,Others
C1326,1,168.81,4,4,3,Champions
C0966,4,428.89,4,1,1,Others
C1340,2,281.29,4,3,2,Champions
C1411,2,403.02,4,3,1,Champions
C0679,5,482.51,4,1,1,Others
C0863,1,41.79,4,4,4,Champions
C0021,2,392.60,4,3,1,Champions
C1159,2,168.30,4,3,3,Champions
C1043,4,466.23,4,1,1,Others
C0715,2,167.19,4,3,3,Champions
C1339,3,127.79,4,2,4,Potential Loyalists
C0993,5,613.71,4,1,1,Others
C0329,4,424.85,4,1,1,Others
C0906,2,95.09,4,3,4,Champions
C1323,3,165.82,4,2,3,Potential Loyalists
C0605,3,391.11,4,2,1,Potential Loyalists
C0097,3,166.17,4,2,3,Potential Loyalists
C1294,5,778.42,4,1,1,Others
C0172,2,239.40,4,2,3,Potential Loyalists
C0096,2,254.12,4,3,2,Champions
C1451,5,354.20,4,1,2,Others
C0903,4,531.13,4,1,1,Others
C0627,1,99.51,4,4,4,Champions
C1301,3,198.70,4,2,3,Potential Loyalists
C0162,3,197.31,4,2,3,Potential Loyalists
C1365,2,224.17,4,2,3,Potential Loyalists
C0282,5,431.71,4,1,1,Others
C0865,4,486.91,4,1,1,Others
C0291,3,300.66,4,2,2,Potential Loyalists
C1166,4,540.67,4,1,1,Others
C0381,1,186.49,4,4,3,Champions
C1227,5,476.83,4,1,1,Others
C0785,2,229.23,4,2,3,Potential Loyalists
C1337,2,39.18,4,2,4,Potential Loyalists
C0568,3,340.70,4,2,2,Potential Loyalists
C0789,3,502.80,4,1,1,Others
C0718,2,173.50,4,3,3,Champions
C1204,4,497.83,4,1,1,Others
C0210,5,591.62,4,1,1,Others
C0315,3,655.89,4,1,1,Others
C0513,4,570.48,4,1,1,Others
C1222,1,98.65,4,4,4,Champions
C1211,2,251.70,4,2,2,Potential Loyalists
C1059,4,426.65,4,1,1,Others
C0340,2,115.16,4,3,4,Champions
C0964,6,631.21,4,1,1,Others
C1253,3,328.65,4,2,2,Potential Loyalists
C0154,2,203.19,4,3,3,Champions
C0083,2,133.07,4,3,4,Champions
C1262,1,81.72,4,4,4,Champions
C0691,2,106.02,4,3,4,Champions
C0840,5,438.23,4,1,1,Others
C1458,3,393.52,4,2,1,Potential Loyalists
C1195,1,145.12,4,4,3,Champions
C0846,2,421.11,4,2,1,Potential Loyalists
C0013,2,244.61,4,2,3,Potential Loyalists
C0234,3,312.56,4,2,2,Potential Loyalists
C1470,3,371.30,4,2,2,Potential Loyalists
C1264,1,45.14,4,4,4,Champions
C0060,5,767.74,4,1,1,Others
C0337,1,162.43,4,3,3,Champions
C0932,6,590.98,4,1,1,Others
C1247,3,397.89,4,2,1,Potential Loyalists
C1348,5,636.91,4,1,1,Others
C0914,5,342.75,4,1,2,Others
C0586,2,96.12,4,3,4,Champions
C1031,4,490.15,4,1,1,Others
C0783,2,382.62,4,3,2,Champions
C0983,4,414.06,4,1,1,Others
C1287,3,344.45,4,2,2,Potential Loyalists
C0901,1,66.96,4,4,4,Champions
C1188,2,132.51,4,3,4,Champions
C0651,4,457.24,4,1,1,Others
C1408,2,355.45,4,3,2,Champions
C0592,3,473.71,4,1,1,Others
C0697,5,509.96,4,1,1,Others
C1150,4,323.91,4,1,2,Others
C0221,2,125.09,4,3,4,Champions
C1362,2,379.91,4,3,2,Champions
C0312,3,342.26,4,2,2,Potential Loyalists
C0970,1,196.27,4,4,3,Champions
C0728,2,272.48,4,3,2,Champions
C0579,6,715.20,4,1,1,Others
C0610,3,164.38,4,2,3,Potential Loyalists
C0867,2,95.97,4,3,4,Champions
C1051,4,579.82,4,1,1,Others
C1053,5,316.59,4,1,2,Others
C1251,4,684.16,4,1,1,Others
C0440,1,91.31,4,4,4,Champions
C0243,6,703.10,4,1,1,Others
C0258,2,288.98,4,3,2,Champions
C0396,2,90.49,4,3,4,Champions
C0920,4,390.21,4,1,1,Others
C0034,3,404.76,4,2,1,Potential Loyalists
C1165,3,401.71,4,2,1,Potential Loyalists
C0344,3,396.03,4,2,1,Potential Loyalists
C1327,3,124.44,4,2,4,Potential Loyalists
C0415,2,202.97,4,3,3,Champions
C0213,5,567.77,4,1,1,Others
C0631,1,97.06,4,4,4,Champions
C0987,3,181.50,4,2,3,Potential Loyalists
C0482,7,874.62,4,1,1,Others
C0354,4,389.31,4,1,1,Others
C1208,2,169.30,4,3,3,Champions
C0043,3,728.11,4,1,1,Others
C0521,3,235.66,4,2,3,Potential Loyalists
C1176,3,479.01,4,1,1,Others
C1036,5,354.31,4,1,2,Others
C0522,6,367.20,4,1,2,Others
C0637,3,290.71,4,2,2,Potential Loyalists
C0601,2,318.04,4,3,2,Champions
C1021,1,99.38,4,4,4,Champions
C1418,2,199.23,4,3,3,Champions
C1311,1,85.03,4,4,4,Champions
C0479,2,332.37,4,3,2,Champions
C0833,3,205.49,4,2,3,Potential Loyalists
C0706,3,122.07,4,2,4,Potential Loyalists
C0722,2,354.84,4,3,2,Champions
C0542,3,377.37,4,2,2,Potential Loyalists
C1392,2,86.08,4,3,4,Champions
C0882,1,164.66,4,4,3,Champions
C0008,3,478.17,4,1,1,Others
C0049,5,447.20,4,1,1,Others
C1400,4,419.37,4,1,1,Others
C0386,3,225.77,4,2,3,Potential Loyalists
C0302,3,317.98,4,2,2,Potential Loyalists
C0528,3,317.38,4,2,2,Potential Loyalists
C1459,2,117.09,4,3,4,Champions
C1446,2,265.01,4,3,2,Champions
C1142,2,392.64,4,2,1,Potential Loyalists
C1215,4,670.66,4,1,1,Others
C1094,3,653.76,4,1,1,Others
C0397,4,335.85,4,1,2,Others
C1179,6,836.45,4,1,1,Others
C1167,5,316.55,4,1,2,Others
C1156,2,147.30,4,3,3,Champions
C1352,2,119.90,4,3,4,Champions
C0447,2,163.71,4,3,3,Champions
C1131,4,570.61,4,1,1,Others
C0240,4,652.59,4,1,1,Others
C1413,5,456.61,4,1,1,Others
C0561,5,264.25,4,1,2,Others
C0203,5,451.21,4,1,1,Others
C0512,3,654.65,4,1,1,Others
C0988,3,379.54,4,2,2,Potential Loyalists
C0630,3,208.29,4,2,3,Potential Loyalists
C1229,2,109.56,4,3,4,Champions
C0836,1,73.95,4,4,4,Champions
C0660,2,232.64,4,2,3,Potential Loyalists
C0001,3,605.75,4,1,1,Others
C0608,4,374.07,4,1,2,Others
C1102,2,383.55,4,3,2,Champions
C1338,1,247.42,4,4,3,Champions
C0622,3,366.19,4,2,2,Potential Loyalists
C1497,4,433.10,4,1,1,Others
C0217,5,425.89,4,1,1,Others
C0662,5,499.20,4,1,1,Others
C0959,2,186.00,4,3,3,Champions
C0394,1,98.16,4,4,4,Champions
C0041,3,206.30,4,2,3,Potential Loyalists
C0884,2,317.56,4,3,2,Champions
C0461,1,128.84,4,4,4,Champions
C0108,4,430.58,4,1,1,Others
C1284,2,97.76,4,3,4,Champions
C0347,1,51.60,4,4,4,Champions
C0374,1,34.47,4,4,4,Champions
C0567,6,731.21,4,1,1,Others
C1296,3,470.35,4,1,1,Others
C0407,4,604.00,4,1,1,Others
C1278,4,275.16,4,1,2,Others
C0362,1,120.88,4,4,4,Champions
C0183,4,719.08,4,1,1,Others
C0739,2,360.48,4,3,2,Champions
C0086,5,663.09,4,1,1,Others
C1130,5,490.72,4,1,1,Others
C0280,2,388.35,4,3,1,Champions
C0831,2,115.59,4,3,4,Champions
C1474,3,269.19,4,2,2,Potential Loyalists
C0693,1,59.24,4,3,4,Champions
C0206,2,93.24,4,3,4,Champions
C0928,2,352.45,4,3,2,Champions
C0104,2,263.44,4,3,2,Champions
C0589,1,61.40,4,4,4,Champions
C0455,3,328.90,4,2,2,Potential Loyalists
C0124,2,322.17,4,3,2,Champions
C0954,2,154.43,4,3,3,Champions
C0766,4,608.88,4,1,1,Others
C1175,4,586.56,4,1,1,Others
C0497,4,356.70,4,1,2,Others
C0839,2,92.93,4,3,4,Champions
C1062,1,125.92,4,4,4,Champions
C0368,5,557.39,4,1,1,Others
C1090,3,621.81,4,1,1,Others
C1440,2,114.74,4,3,4,Champions
C0658,3,409.23,4,2,1,Potential Loyalists
C1312,1,113.55,4,4,4,Champions
C0196,3,270.07,4,2,2,Potential Loyalists
C0694,1,12.92,4,4,4,Champions
C0750,4,566.25,4,1,1,Others
C0562,4,332.56,4,1,2,Others
C0199,2,308.28,4,3,2,Champions
C0684,4,473.86,4,1,1,Others
C0494,4,603.63,4,1,1,Others
